path,source_type,provider,created_or_received,tool,source_or_prompt_reference,rights_status,derivative_process
artwork/inbox/app-icon/app-icon-1024.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/caves.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/city.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/cleric.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/duelist.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/halls.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/huntress.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/mage.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/prison.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/rogue.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/sewers.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/splashes/warrior.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/title/title-background-landscape.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/title/title-background-portrait.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/title/title-emblem-transparent.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/ui/button-normal.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/ui/button-pressed.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/ui/dialog-frame-9slice.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
artwork/inbox/ui/menu-panel-9slice.png,project-owner-supplied generated artwork,Leo Yuan,2026-07-17,not recorded,docs/ARTWORK_GENERATION_BRIEF_ZH.md,cleared for this repository and its builds,scripts/process_leo_artwork.py
core/src/main/assets/splashes/bukov/first_raid_portrait.png,project-generated original artwork,OpenAI built-in image generation,2026-07-23,image generation,/Users/leoyuan/.codex/generated_images/019f8d61-90e1-7bf1-9d4e-7a2e84db0cfa/call_lTnBNOFHDgvCZuz0FxLPrD56.png,project original cleared for this repository and its personal builds,byte-identical copy SHA-256 74966bd69da38ebb414e8ae2b0fa864a96339d9a71390a48f636c821156a7b5c
core/src/main/assets/sprites/bukov/scavenger.png,project-generated original artwork,Codex,2026-07-24,procedural pixel drawing,scripts/generate_bukov_enemy_sprites.mjs,project original cleared for this repository and its personal builds,twenty-one original 16x18 RGBA frames with hit and rush actions SHA-256 794f033762f10841623dad80761e86c2798a4d510172dd3a350c3e16b9ce9c67
core/src/main/assets/sprites/bukov/gunner.png,project-generated original artwork,Codex,2026-07-24,procedural pixel drawing,scripts/generate_bukov_enemy_sprites.mjs,project original cleared for this repository and its personal builds,twenty-one original 16x18 RGBA frames with hit and reload actions SHA-256 518f7b26eadc141f372e58b93b18d21957a39bc1283c59f449b723f265199897
core/src/main/assets/sprites/bukov/armored.png,project-generated original artwork,Codex,2026-07-24,procedural pixel drawing,scripts/generate_bukov_enemy_sprites.mjs,project original cleared for this repository and its personal builds,twenty-one original 16x18 RGBA frames with hit and reload actions SHA-256 9d154cca01ae166288e7a82521b3c8838d058c97ec92532ad7ccfe4039fbfc0e
